COBERTURA_NETA,Casos_Zika,DESERCIÓN,Lluvia-14d-prev,Lluvia-21d-prev,Lluvia-7d-prev,MORTALIDAD_INFANTIL_POR_MIL_NACIDOS,NAME,NBI,POBLACIÓN_5_16,SEDES_CONECTADAS_A_INTERNET,TASA_MATRICULACIÓN_5_16
78.87,0,5.43,3,0,0,17.77,Colombia-Putumayo-Colon,57.41,1202,66.67,78.87
122.69,0,1.16,41,5,0,24.72,Colombia-Sucre-Coloso,81.51,1353,56.25,122.69
74.97,0,4.67,222,0,24,22.25,Colombia-Boyaca-Combita,38.4,2329,28.57,75.05
85.32,0,2.42,181,15,258,23.54,Colombia-Santander-Concepcion,25.95,1056,17.24,85.32
129.29,0,2.48,1,0,5,15.04,Colombia-Antioquia-Concepcion,25.95,594,42.11,129.29
130.05,0,7.14,75,3,9,25.84,Colombia-Magdalena-Concordia,39.22,2073,60.0,130.05
73.44,0,5.76,1,0,5,20.92,Colombia-Antioquia-Concordia,39.22,4988,79.07,73.44
80.0,0,5.29,0,0,9,41.67,Colombia-Choco-Condoto,62.58,4159,31.25,80.0
84.14,0,3.7,465,0,39,16.74,Colombia-Santander-Confines,30.13,536,10.0,84.14
91.86,0,0.54,0,5,2,20.46,Colombia-Nariño-Consaca,57.64,1892,31.82,91.86
48.88,0,0.33,0,5,3,20.43,Colombia-Nariño-Contadero,65.45,1741,33.33,48.88
83.01,0,0.94,465,0,39,16.85,Colombia-Santander-Contratacion,29.87,865,36.36,83.01
118.54,0,0.57,294,0,39,13.8,Colombia-Norte_Santander-Convencion,45.1,3226,14.29,118.54
99.96,0,3.26,1,0,5,9.56,Colombia-Antioquia-Copacabana,9.75,12612,91.3,100.02
76.61,0,3.26,222,0,24,20.3,Colombia-Boyaca-Coper,47.03,821,11.54,76.61
101.34,0,7.76,2,0,12,14.19,Colombia-Quindio-Cordoba,70.24,1043,7.69,101.34
109.1,1,3.01,185,1,18,25.88,Colombia-Bolivar-Cordoba,70.24,3275,38.1,109.1
100.26,0,0.31,0,5,3,39.24,Colombia-Nariño-Cordoba,70.24,2715,54.55,100.26
77.08,0,5.64,0,0,43,18.45,Colombia-Cauca-Corinto,53.58,7457,61.22,77.08
59.86,0,0.79,465,0,39,20.48,Colombia-Santander-Coromoro,43.0,1612,16.67,59.86
103.08,4,2.37,41,5,0,16.54,Colombia-Sucre-Corozal,44.84,13475,21.62,103.14
95.45,0,3.58,145,1,33,13.81,Colombia-Boyaca-Corrales,27.95,440,16.67,95.45
